date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2011/01/03,4763737,1986414266,421.50,422.50,414.00,415.00,-2.50,3724
2011/01/04,6886501,2897279920,421.00,423.50,418.00,418.00,+3.00,5211
2011/01/05,9170212,3864159220,421.50,424.00,418.00,420.00,+2.00,6000
2011/01/06,7965075,3279385050,421.00,421.50,407.50,411.00,-9.00,6368
2011/01/07,21251588,8397624404,409.00,409.00,385.00,390.00,-21.00,16348
2011/01/10,6862508,2628486104,385.00,385.50,378.00,385.00,-5.00,5420
2011/01/11,8616229,3415311329,390.00,401.00,389.00,398.00,+13.00,6619
2011/01/12,12242917,5051021555,408.00,416.00,406.00,415.00,+17.00,9528
2011/01/13,8590357,3502446804,415.00,417.50,410.50,411.00,-4.00,4537
2011/01/14,5575463,2266820608,411.00,411.50,403.50,405.50,-5.50,4250
2011/01/17,6784328,2714280372,405.00,405.00,397.50,397.50,-8.00,4811
2011/01/18,4193530,1682541248,395.50,405.00,395.00,400.00,+2.50,3210
2011/01/19,4738420,1902990840,404.50,406.00,398.50,401.50,+1.50,3583
2011/01/20,4241894,1663885507,398.00,403.50,397.50,398.00,-3.50,2349
2011/01/21,3646636,1437184628,391.00,397.00,390.00,395.50,-2.50,2848
2011/01/24,3269444,1298368880,396.00,402.50,394.00,394.00,-1.50,2882
2011/01/25,3533332,1409583116,400.00,402.00,396.00,396.00,+2.00,2947
2011/01/26,2967705,1188127910,400.00,402.50,398.00,401.00,+5.00,2467
2011/01/27,7579845,3092550070,403.00,411.50,402.00,406.00,+5.00,6132
2011/01/28,9906495,3943187510,404.00,404.00,396.00,396.00,-10.00,7296
2011/02/08,20472008,7574309300,380.00,380.00,368.50,368.50,-27.50,12948
2011/02/09,23429029,8275571150,361.00,361.50,345.00,345.50,-23.00,17795
2011/02/10,11970572,4225276060,346.00,357.00,346.00,353.50,+8.00,8744
2011/02/11,10996241,3813695368,354.00,354.00,340.00,345.00,-8.50,7830
2011/02/14,6009818,2101482300,350.00,352.50,348.00,348.00,+3.00,4446
2011/02/15,6713183,2366519282,350.00,356.50,346.50,351.50,+3.50,5153
2011/02/16,5014075,1750055250,351.50,353.50,347.50,348.00,-3.50,3896
2011/02/17,7585090,2598267087,350.00,351.00,339.00,339.00,-9.00,5961
2011/02/18,4558826,1563151023,342.00,345.00,341.00,343.00,+4.00,3504
2011/02/21,4951241,1685950201,344.00,345.00,339.00,339.00,-4.00,3687
2011/02/22,8587677,2835034591,333.00,334.50,325.50,331.50,-7.50,6356
2011/02/23,8757988,2950365941,331.50,342.00,331.50,334.00,+2.50,6249
2011/02/24,4863722,1639614092,336.00,341.50,334.00,334.00, 0.00,4077
2011/02/25,9076219,3030640161,337.00,339.50,328.00,334.00, 0.00,6693
2011/03/01,8182526,2729019080,334.00,339.00,328.00,328.00,-6.00,6382
2011/03/02,14089934,4843385598,332.00,350.00,332.00,345.50,+17.50,10757
2011/03/03,8847282,3012400226,344.00,344.00,337.00,340.50,-5.00,6705
2011/03/04,5695007,1929653175,344.00,344.00,335.00,335.50,-5.00,4398
2011/03/07,5204845,1723916764,331.00,334.00,328.50,332.00,-3.50,4417
2011/03/08,6350269,2160499767,332.00,344.00,332.00,341.00,+9.00,4916
2011/03/09,6965150,2410872250,348.00,349.50,343.00,343.00,+2.00,5171
2011/03/10,6240163,2150924050,344.50,348.00,341.00,348.00,+5.00,4469
2011/03/11,4798519,1654524574,346.00,347.00,342.00,345.00,-3.00,3874
2011/03/14,5221883,1758879454,341.00,341.00,332.00,336.00,-9.00,4231
2011/03/15,11608725,3753119450,336.00,341.00,312.50,318.50,-17.50,9049
2011/03/16,6133762,1996623960,326.00,328.50,321.00,328.50,+10.00,4715
2011/03/17,14071544,4810310180,329.00,350.00,325.00,344.00,+15.50,10208
2011/03/18,8367601,2892297047,350.00,350.00,341.00,346.50,+2.50,5872
2011/03/21,3705800,1272723400,346.50,346.50,341.00,341.00,-5.50,2927
2011/03/22,7561978,2649393310,344.00,355.00,344.00,348.00,+7.00,5747
2011/03/23,5241906,1831354600,350.00,352.00,347.00,348.00, 0.00,3900
2011/03/24,5420201,1871158718,350.00,351.50,342.50,342.50,-5.50,4119
2011/03/25,4089091,1410779395,346.00,348.00,343.00,343.00,+0.50,2967
2011/03/28,2500385,855167956,341.00,345.00,340.50,340.50,-2.50,1902
2011/03/29,4677803,1606335009,340.50,347.00,340.50,341.00,+0.50,3454
2011/03/30,5381913,1815221681,341.00,342.50,335.50,335.50,-5.50,4372
2011/03/31,5210916,1748669024,335.50,338.00,332.00,338.00,+2.50,3408
2011/04/01,3894112,1324267183,339.50,343.00,337.00,343.00,+5.00,2879
2011/04/06,14311254,5007181986,347.00,353.00,345.00,349.50,+6.50,8685
2011/04/07,5767489,2015901639,352.00,352.00,346.50,351.00,+1.50,3810
2011/04/08,4441683,1555026550,351.00,352.00,347.50,350.00,-1.00,3427
2011/04/11,4397143,1542024570,350.00,354.00,346.00,354.00,+4.00,2833
2011/04/12,3197292,1113285908,351.00,352.00,346.00,346.00,-8.00,2422
2011/04/13,2930890,1011552110,345.00,348.00,341.50,347.50,+1.50,2109
