date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2011/1/3,14930270,1751928590,118,118,117,117.5,0,6432
2011/1/4,25370452,2995369009,118,119,117.5,117.5,0,9912
2011/1/5,29439287,3402168255,117.5,118,114,114.5,-3,11156
2011/1/6,18471341,2113306215,114.5,115,114,114.5,0,6899
2011/1/7,17206955,1962771291,114.5,115.5,113,114,-0.5,6981
2011/1/10,12554073,1421154322,114.5,114.5,112.5,113.5,-0.5,6050
2011/1/11,26096416,3013388480,114.5,116.5,114,116,2.5,10971
2011/1/12,14365650,1670879400,116.5,117,115.5,116,0,6935
2011/1/13,23531718,2743290288,116.5,117,115.5,117,1,8501
2011/1/14,11335074,1320824575,117,117,116,117,0,5284
2011/1/17,10551295,1219034925,117,117,115,115,-2,5090
2011/1/18,14797820,1695032300,114,115,114,115,0,6861
2011/1/19,19337292,2249210372,116,117,115,117,2,8925
2011/1/20,31822170,3728479840,117,118,116,117.5,0.5,12219
2011/1/21,18605253,2159649644,117,117.5,115.5,115.5,-2,6725
2011/1/24,8356181,966162846,116,116,115,116,0.5,3732
2011/1/25,20918405,2419123702,117,117,116,116.5,0.5,7809
2011/1/26,79440012,9471099738,117,121,116.5,120.5,4,34618
2011/1/27,105944479,13157550727,123,126,123,124,3.5,42034
2011/1/28,58188377,7242392388,125,125.5,123,125,1,22149
2011/2/8,59411810,7438650810,126,126.5,124,124.5,-0.5,20511
2011/2/9,54040668,6536334160,124,125,119,120,-4.5,20925
2011/2/10,35167864,4190252316,118,121,117,119,-1,13849
2011/2/11,32272273,3780658726,118.5,119,116,116,-3,13961
2011/2/14,24841558,2908966696,116.5,118,116,117,1,8023
2011/2/15,21198131,2452124696,116.5,116.5,115,115,-2,10242
2011/2/16,19578614,2261887224,115,116,115,115,0,8745
2011/2/17,22443110,2592210760,115.5,116.5,115,115,0,6777
2011/2/18,17018538,1982098109,116,117,116,116.5,1.5,6030
2011/2/21,31101291,3549534954,116,116,113.5,114,-2.5,14463
2011/2/22,37630681,4182863540,112,112,110,111.5,-2.5,17616
2011/2/23,37091364,4098016797,110,112,110,110,-1.5,16260
2011/2/24,25714668,2836893230,110,111.5,109,109,-1,9985
2011/2/25,32489916,3566732167,110,111,109,109,0,12252
2011/3/1,33579950,3756742300,110,114,109.5,114,5,12861
2011/3/2,22052486,2478328621,113,113,111.5,112,-2,8300
2011/3/3,18752002,2127768172,113,114,112.5,113.5,1.5,8030
2011/3/4,49761092,5806217726,115.5,118,115,117.5,4,23118
2011/3/7,18333437,2146872122,117.5,118,116,117,-0.5,7611
2011/3/8,16243961,1885987446,116,117,115.5,116,-1,6626
2011/3/9,11609960,1355240860,117.5,117.5,116,116.5,0.5,5071
2011/3/10,23437789,2678350446,116,116,113,113.5,-3,8414
2011/3/11,18134772,2045634172,113,113.5,112,113,-0.5,6717
2011/3/14,21201949,2355485184,111.5,113,109.5,112.5,-0.5,9183
2011/3/15,40112105,4358225876,111,112,105.5,109,-3.5,18461
2011/3/16,74756085,7932545916,109,110,105,105.5,-3.5,32376
2011/3/17,75091176,7583627452,102,102,99.9,101,-4.5,33801
2011/3/18,59185820,5987624140,102,102.5,100,100.5,-0.5,26403
2011/3/21,29231760,3014761450,101,104,101,104,3.5,14149
2011/3/22,28114326,2945242730,105,106,104,104.5,0.5,11270
2011/3/23,20981493,2178685272,104.5,104.5,103,103,-1.5,9621
2011/3/24,18019487,1882826635,104,105,104,104.5,1.5,7667
2011/3/25,23206776,2452508256,106.5,106.5,105,106,1.5,9342
2011/3/28,17323998,1824383630,106,106,104.5,105,-1,6302
2011/3/29,14388226,1510094956,105,106,104,106,1,5994
2011/3/30,31603731,3299905313,104.5,106,104,104.5,-1.5,9094
2011/3/31,28531347,2933942332,104,104,102,103,-1.5,9146
2011/4/1,21293136,2234164416,104,106,103.5,106,3,7944
2011/4/6,40364768,4371885212,107.5,109.5,106.5,109.5,3.5,17006
2011/4/7,19576846,2128817714,109.5,110,107.5,109.5,0,7442
2011/4/8,19912802,2149923655,109.5,109.5,106.5,107.5,-2,7510
2011/4/11,27682735,2999524987,109,109,107,109,1.5,6730
2011/4/12,20097094,2139271774,108.5,108.5,105.5,105.5,-3.5,8228
2011/4/13,12979483,1373143899,106,106.5,105,106.5,1,6163
2011/4/14,25335234,2736263272,107,109,106.5,108.5,2,10096
2011/4/15,26802328,2847963044,109,109,104,105,-3.5,11612
2011/4/18,28225751,2935677277,105,107.5,104.5,105,0,9406
2011/4/19,20137091,2087186961,104,104.5,103,103.5,-1.5,8448
2011/4/20,29006300,3109159700,105.5,108,105,108,4.5,13626
2011/4/21,42306073,4656033957,110,111.5,109,109.5,1.5,19197
2011/4/22,15628002,1707298218,109.5,110,108.5,109.5,0,7039
2011/4/25,10725977,1164725475,110,111,107.5,107.5,-2,5172
2011/4/26,13751376,1458142108,106.5,108.5,106,108.5,1,4703
2011/4/27,18710462,2038621084,109,109.5,108,109,0.5,6410
2011/4/28,36254097,3922368476,109,109.5,107,109,0,11239
2011/4/29,15940074,1716884901,108,108.5,107,108.5,-0.5,6909
2011/5/3,29005891,3086971956,108,108,105,106,-2.5,9129
2011/5/4,17273510,1824142060,106.5,106.5,105,106,0,6957
2011/5/5,19918193,2137093704,106,108.5,105,108,2,7882
2011/5/6,21006739,2256601033,108,108.5,106.5,107.5,-0.5,7033
2011/5/9,19464802,2114876451,108.5,109,107.5,109,1.5,7928
2011/5/10,12959150,1412575220,109.5,109.5,108.5,109,0,5718
2011/5/11,22954773,2524558530,110,110.5,109.5,110.5,1.5,12745
2011/5/12,19350381,2110340790,110,110,108.5,109,-1.5,5513
2011/5/13,16154387,1758364296,109.5,110,108,108.5,-0.5,6381
2011/5/16,21554472,2295596032,107.5,108,106,106,-2.5,8122
2011/5/17,28997288,3031538802,106,106,104,104,-2,13960
2011/5/18,13180034,1378865531,103.5,106,103.5,106,2,6826
2011/5/19,19587155,2060224620,106,106.5,104,104,-2,6494
2011/5/20,19044747,1974926651,104.5,105,103,103,-1,8252
2011/5/23,52000524,5184881959,99.5,101,97.7,100,-3,22799
2011/5/24,18188631,1853212993,100.5,103,100.5,103,3,9521
2011/5/25,17683723,1794183843,103,103,100.5,101,-2,8221
2011/5/26,12102825,1231220650,103,103,101,101.5,0.5,5938
2011/5/27,15633538,1584755072,101.5,102,101,101,-0.5,6657
2011/5/30,23670280,2374820583,100.5,101,100,100,-1,9007
2011/5/31,46496446,4681876257,100,101.5,100,100.5,0.5,10978
2011/6/1,23941052,2442422528,101.5,102.5,101.5,102,1.5,8388
2011/6/2,37199192,3727854000,100.5,101,99.9,100,-2,14318
2011/6/3,21823416,2185096618,101,101,99.9,100.5,0.5,8667
2011/6/7,18086435,1814776730,101,101.5,99.9,100,-0.5,7792
2011/6/8,19578604,1976013504,100.5,101.5,100.5,100.5,0.5,9604
